Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	SB_4_64_SH_AYa2022_R1.raw	SB_4_64_SH_AYa2022_R2.raw	SB_4_64_SH_AYa2022_R3.raw	SB_4_64_SH_WT_R1.raw	SB_4_64_SH_WT_R2.raw	SB_4_64_SH_WT_R3.raw	SB_4_64_SH_AY_R1.raw	SB_4_64_SH_AY_R2.raw	SB_4_64_SH_AY_R3.raw	SB_4_64_SH_AYa18_R1.raw	SB_4_64_SH_AYa18_R2.raw	SB_4_64_SH_AYa18_R3.raw
P40064	NU157_YEAST	NUP157		48	48	53600200.0	59353300.0	22742700.0	81174800.0	35134400.0	9882720.0	63098100.0	41435100.0	12272600.0	42982600.0	63522200.0	11413900.0
P40066	GLE2_YEAST	GLE2		9	9	18559200.0	33097400.0	11399400.0	30563700.0	17929300.0	5022920.0	20018000.0	25780500.0	9477090.0	11848500.0	26538300.0	14437500.0
P40069	IMB4_YEAST	KAP123		25	25	16439200.0	13439700.0	10608400.0	13933600.0	8388200.0	4762550.0	22160500.0	10867800.0	15544000.0	18856700.0	15128100.0	15500200.0
P40070	LSM4_YEAST	LSM4		1	1	1722940.0	4010370.0		5212580.0	3798920.0	1692040.0	9306670.0		3263430.0	3297210.0	4729950.0	3635560.0
P40071	TMN3_YEAST	TMN3		6	6	3882720.0	3489050.0	1284470.0	3656630.0	1512520.0		4053390.0	2640330.0	790539.0	3019720.0	2649730.0	517497.0
P40073	SHO1_YEAST	SHO1		4	4	17322100.0	14851700.0	8472740.0	19551700.0	9743910.0	2827050.0	15938300.0	17122300.0	5486760.0	16718600.0	22843900.0	2122180.0
P40074	AVT6_YEAST	AVT6		5	5	23854200.0	24773300.0	7366000.0	36162500.0	22183400.0	4785170.0	35469700.0	29099100.0	4870050.0	32879000.0	30238800.0	4252510.0
P40075	SCS2_YEAST	SCS2		16	16	526510000.0	430642000.0	298016000.0	682870000.0	368233000.0	60950000.0	529826000.0	472622000.0	206493000.0	533270000.0	552377000.0	137568000.0
P40076	YEV1_YEAST	YER121W		1	1	8102320.0	14701600.0	1392470.0	15798000.0	15784100.0	1153720.0	22527100.0	14186000.0		8830380.0	12374100.0	2228030.0
P40078	NSA2_YEAST	NSA2		2	2	6299040.0	7386330.0	4807540.0		7136450.0	2986920.0	8586540.0	2861160.0	4378890.0	8705800.0	4105340.0	2488450.0
P40079	LCP5_YEAST	LCP5		1	1	348010.0			1195350.0	1278630.0		1759300.0			834744.0	483422.0	
P40080	VFA1_YEAST	VFA1		2	2	241752.0	200843.0	87926.0	358826.0			304396.0	183662.0	79188.7	294437.0	201739.0	72285.5
P40081	MGDP1_YEAST	YER134C		2	2							2362240.0			2111360.0		
P40084	RTR1_YEAST	RTR1		1	1	588094.0	423781.0	141284.0	891460.0	465108.0		1448700.0	306023.0	107223.0	921811.0	580484.0	173859.0
P40085	TAPT1_YEAST	EMP65		2	2	290838.0	233921.0	143505.0	252094.0	165416.0		212452.0	325556.0	104184.0	304448.0	409878.0	47853.7
P40086	COX15_YEAST	COX15		17	17	369615000.0	369224000.0	364923000.0	369186000.0	360166000.0	384601000.0	355692000.0	406400000.0	373225000.0	390911000.0	336917000.0	316777000.0
P40087	DDI1_YEAST	DDI1		8	8	5234890.0	4148230.0	3848680.0	7398840.0	4497690.0	3272450.0	12270600.0	4567320.0	2920460.0	5831240.0	5305720.0	1660570.0
P40088	FTR1_YEAST	FTR1		7	7	91322400.0	65158100.0	13055400.0	166879000.0	55656000.0	9005600.0	105662000.0	70046100.0	6871300.0	109552000.0	93479600.0	7753970.0
P40089	LSM5_YEAST	LSM5		3	3	1162970.0	333151.0		837215.0	346581.0	282490.0	599247.0	462626.0	212148.0	805948.0	551359.0	215677.0
P40091	PEA2_YEAST	PEA2		2	2	1467510.0	799903.0	331328.0	1820870.0	515233.0		2229250.0	662148.0	312264.0	1576230.0	1435320.0	281280.0
P40093	YEY6_YEAST	YER156C		6	6	9277070.0	5554460.0	4716200.0	7664250.0	5191960.0	2616520.0	10458200.0	4462250.0	3283610.0	6777040.0	3514110.0	3243920.0
